station,date,decimal_year,mjd,e_mm,n_mm,u_mm,sig_e,sig_n,sig_u,e_vel_mmday,n_vel_mmday,u_vel_mmday,h_vel_mmday,zscore_e,zscore_n,zscore_u,anomaly_e,anomaly_n,anomaly_u,anomaly_any,risk_level,risk_score,lat,lon
BAKO,1998-03-21,1998.2177,50893,869.223,-363.788,167.782,1.525,1.253,6.251,0.1727,0.1853,0.2317,0.2534,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,2.7,-6.491054,106.848909
BAKO,1998-03-22,1998.2204,50894,861.061,-360.73,156.627,1.556,1.258,6.277,-0.1868,0.3359,-0.3137,0.3844,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,4.0,-6.491054,106.848909
BAKO,1998-03-23,1998.2231,50895,867.967,-362.127,163.526,1.689,1.29,6.437,-0.467,0.6582,-0.2806,0.807,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,7.3,-6.491054,106.848909
BAKO,1998-03-24,1998.2259,50896,860.954,-358.865,159.512,1.855,1.55,7.786,-1.0148,0.6786,0.3345,1.2207,0.0,0.0,0.0,NORMAL,NORMAL,NORMAL,NO,LOW,10.8,-6.491054,106.848909
BAKO,1998-03-25,1998.2286,50897,863.152,-363.136,144.876,1.654,1.323,6.624,-1.2542,0.3808,-0.9958,1.3108,0.055,0.336,0.703,NORMAL,NORMAL,NORMAL,NO,LOW,13.5,-6.491054,106.848909
BAKO,1998-03-26,1998.2313,50898,871.893,-356.039,157.535,1.663,1.361,6.983,-0.1879,0.6281,-1.465,0.6556,0.824,0.636,0.225,NORMAL,NORMAL,NORMAL,NO,LOW,9.6,-6.491054,106.848909
BAKO,1998-03-27,1998.2341,50899,864.066,-359.492,149.177,1.591,1.3,6.696,-0.0787,0.6964,-1.8782,0.7008,0.039,0.243,0.572,NORMAL,NORMAL,NORMAL,NO,LOW,11.2,-6.491054,106.848909
BAKO,1998-03-28,1998.2368,50900,866.735,-356.934,155.908,1.467,1.237,6.134,0.1379,0.8114,-1.8212,0.8231,0.215,0.642,0.265,NORMAL,NORMAL,NORMAL,NO,LOW,12.0,-6.491054,106.848909
BAKO,1998-03-29,1998.2396,50901,865.948,-356.449,169.72,1.613,1.309,6.475,0.5491,0.728,0.4192,0.9118,0.086,0.753,0.325,NORMAL,NORMAL,NORMAL,NO,LOW,8.6,-6.491054,106.848909
BAKO,1998-03-30,1998.2423,50902,871.14,-359.772,183.452,1.526,1.312,6.638,0.5965,0.5205,2.5626,0.7916,0.651,0.279,0.933,NORMAL,NORMAL,NORMAL,NO,LOW,14.0,-6.491054,106.848909
BAKO,1998-03-31,1998.245,50903,873.669,-360.837,153.612,1.594,1.237,6.32,1.3545,0.0517,2.3198,1.3555,0.919,0.166,0.259,NORMAL,NORMAL,NORMAL,NO,LOW,17.8,-6.491054,106.848909
BAKO,1998-04-01,1998.2478,50904,868.928,-365.349,159.688,1.483,1.244,6.279,0.8303,-0.4742,2.3894,0.9562,0.262,0.466,0.094,NORMAL,NORMAL,NORMAL,NO,LOW,14.8,-6.491054,106.848909
BAKO,1998-04-02,1998.2505,50905,859.242,-363.202,158.899,1.647,1.25,6.458,-0.4554,-1.1245,0.8208,1.2132,1.138,0.056,0.127,NORMAL,NORMAL,NORMAL,NO,LOW,12.2,-6.491054,106.848909
BAKO,1998-04-03,1998.2533,50906,866.355,-359.177,156.591,1.626,1.319,6.625,-0.1187,-0.6774,0.0823,0.6877,0.219,0.767,0.073,NORMAL,NORMAL,NORMAL,NO,LOW,5.7,-6.491054,106.848909
BAKO,1998-04-04,1998.256,50907,871.49,-362.265,156.613,1.551,1.209,6.106,-0.0609,-0.7828,-1.5273,0.7852,1.32,0.032,0.02,NORMAL,NORMAL,NORMAL,NO,LOW,10.9,-6.491054,106.848909
BAKO,1998-04-05,1998.2587,50908,865.629,-360.279,163.269,1.549,1.311,6.563,-0.3823,-0.3827,-2.0381,0.5409,0.418,0.74,0.42,NORMAL,NORMAL,NORMAL,NO,LOW,10.4,-6.491054,106.848909
BAKO,1998-04-06,1998.2615,50909,866.416,-360.576,156.758,1.542,1.347,6.799,-0.6961,0.1243,-1.787,0.7071,0.158,0.585,0.006,NORMAL,NORMAL,NORMAL,NO,LOW,11.0,-6.491054,106.848909
BAKO,1998-04-07,1998.2642,50910,870.381,-357.127,148.109,1.596,1.285,6.766,-0.1343,0.6609,-0.4767,0.6744,0.964,1.757,0.773,NORMAL,NORMAL,NORMAL,NO,LOW,6.8,-6.491054,106.848909
BAKO,1998-04-08,1998.2669,50911,864.391,-362.348,152.165,1.566,1.28,6.551,0.2174,0.5854,-1.184,0.6244,0.759,0.125,0.408,NORMAL,NORMAL,NORMAL,NO,LOW,8.5,-6.491054,106.848909
BAKO,1998-04-09,1998.2697,50912,872.274,-363.34,149.641,1.694,1.363,7.239,0.9389,-0.0203,-1.4162,0.9391,1.495,0.513,0.581,NORMAL,NORMAL,NORMAL,NO,LOW,11.8,-6.491054,106.848909
BAKO,1998-04-10,1998.2724,50913,860.871,-363.725,164.691,1.628,1.308,6.619,-0.4073,-0.4758,-0.2395,0.6264,1.756,0.67,0.754,NORMAL,NORMAL,NORMAL,NO,LOW,5.7,-6.491054,106.848909
BAKO,1998-04-11,1998.2752,50914,867.168,-366.017,148.342,1.726,1.377,7.305,-0.5055,-0.6787,-0.8105,0.8462,0.042,1.51,1.385,NORMAL,NORMAL,NORMAL,NO,LOW,9.2,-6.491054,106.848909
